Characteristic Name,Method Speciation,Sample Fraction,Parameter,Region,Publisher,Guideline Name,Status,Media Name,Ecosystem,Protection Level,Value,Unit,Notes,Look-up table ,Documentation/Spec Sheet Url,Citation,Reviewer,Last Reviewed
Nitrite,as NO2,,Nitrite,"CA,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,197,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=143,,,
Nonylphenol,,,Nonylphenol and its ethoxylates,"CA,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,1,ug/L,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/report/sector-specific-tools-calculate-emissions/list-nonylphenol-ethoxylates.html,,http://ceqg-rcqe.ccme.ca/download/en/198/,,,
Nonylphenol,,,Nonylphenol and its ethoxylates,"CA,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,0.7,ug/L,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/report/sector-specific-tools-calculate-emissions/list-nonylphenol-ethoxylates.html,,http://ceqg-rcqe.ccme.ca/download/en/198/,,,
Perylene,,",Total",Perylene,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,0.00007,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
pH,,",Total",pH,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,"[6.5,8.5]",,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
"pH, lab",,",Total",pH,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,"[6.5,8.5]",,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Dissolved oxygen (DO),,Dissolved,Oxygen,"CA,CA-SK,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,"Chronic - warm water biota, early life stage",6,mg/L,Values are minima,,http://ceqg-rcqe.ccme.ca/download/en/177/,,MK,2020-12-16
Dissolved oxygen (DO),,Dissolved,Oxygen,"CA,CA-SK,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,"Chronic - warm water biota, other life stage",5.5,mg/L,Values are minima,,http://ceqg-rcqe.ccme.ca/download/en/177/,,MK,2020-12-16
Dissolved oxygen (DO),,Dissolved,Oxygen,"CA,CA-SK,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,"Chronic - cold water biota, early life stage",9.5,mg/L,Values are minima,,http://ceqg-rcqe.ccme.ca/download/en/177/,,MK,2020-12-16
Dissolved oxygen (DO),,Dissolved,Oxygen,"CA,CA-SK,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,"Chronic - cold water biota, other life stage",6.5,mg/L,Values are minima,,http://ceqg-rcqe.ccme.ca/download/en/177/,,MK,2020-12-16
Dissolved oxygen (DO),,Dissolved,Oxygen,"CA,CA-SK,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,8,mg/L,"Values are minima. Range encapsulates different water temperatures and life stages - 5.5 (warm water + other life stages), 6 (warm-water + early life stages), 9.5 (cold water + early life stages), 6.5 (cold water+ other life stages)",,http://ceqg-rcqe.ccme.ca/download/en/177/,,MK,2020-12-16
"1,1-Dichloroethane",,,"1,1-dichloroethane",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,6.6,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,1-Dichloroethane",,,"1,1-dichloroethane",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.74,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,1-Dichloroethene",,,"1,1-dichloroethene",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,1.2,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,1-Dichloroethene",,,"1,1-dichloroethene",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.13,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,1-Dichloropropane",,,"1,1-dicholoropropane",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,1.2,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,1-Dichloropropane",,,"1,1-dicholoropropane",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.051,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,1,1-Trichloroethane",,,"1,1,1-trichloroethane",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.8,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,1,1-Trichloroethane",,,"1,1,1-trichloroethane",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.089,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,1,1,2-Tetrachloroethane",,,"1,1,1,2-tetrachloroethane",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,1,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,1,1,2-Tetrachloroethane",,,"1,1,1,2-tetrachloroethane",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.044,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,1,2-Trichloroethane",,,"1,1,2-trichloroethane",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,3.2,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,1,2-Trichloroethane",,,"1,1,2-trichloroethane",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.73,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Trichlorotrifluoroethane,,,"1,1,2-trichlorotrifluoroethane",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.28,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Trichlorotrifluoroethane,,,"1,1,2-trichlorotrifluoroethane",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.032,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,"1,1,2,2-tetrachloroethane",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.91,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,"1,1,2,2-tetrachloroethane",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.2,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,"1,1,2,2-tetrachloroethane",CA-QC,QC Gov,,Approved,Water,Marine,Acute,0.014,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,"1,1,2,2-tetrachloroethane",CA-QC,QC Gov,,Approved,Water,Marine,Chronic,0.014,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,2-Bis(2-chloroethoxy)ethane",,,"1,2-bis (2-chloroethoxy) ethane",CA-QC,US-MI,,Approved,Water,Freshwater,Acute,13,mg/L,"MDEQ - Michigan Department of Environmental Quality (MDEQ) - 2008 - Rule 57 Water Quality Values - Surface Water Quality Assessment Section, MDEQ, 5 p, 2008-12-10",,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,"MDEQ - Michigan Department of Environmental Quality (MDEQ) - 2008 - Rule 57 Water Quality Values - Surface Water Quality Assessment Section, MDEQ, 5 p, 2008-12-10",MK,2020-12-18
"1,2-Bis(2-chloroethoxy)ethane",,,"1,2-bis (2-chloroethoxy) ethane",CA-QC,US-MI,,Approved,Water,Freshwater,Chronic,1.5,mg/L,"MDEQ - Michigan Department of Environmental Quality (MDEQ) - 2008 - Rule 57 Water Quality Values - Surface Water Quality Assessment Section, MDEQ, 5 p, 2008-12-11",,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,"MDEQ - Michigan Department of Environmental Quality (MDEQ) - 2008 - Rule 57 Water Quality Values - Surface Water Quality Assessment Section, MDEQ, 5 p, 2008-12-10",MK,2020-12-18
Ethylene dibromide,,,"1,2-dibromoethane",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.14,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Ethylene dibromide,,,"1,2-dibromoethane",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.015,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
o-Dichlorobenzene,,,"1,2-dichlorobenzene",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.12,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
o-Dichlorobenzene,,,"1,2-dichlorobenzene",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0007,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
o-Dichlorobenzene,,,"1,2-dichlorobenzene",CA-QC,QC Gov,,Approved,Water,Marine,Chronic,0.042,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,2-Dichloroethane",,,"1,2-dichloroethane",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,8.2,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,2-Dichloroethane",,,"1,2-dichloroethane",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.1,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,2-Dichloropropane",,,"1,2-dichloropropane",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,2,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,2-Dichloropropane",,,"1,2-dichloropropane",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.23,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,2-Diphenylhydrazine",,,"1,2-diphenylhydrazine",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.013,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,2-Diphenylhydrazine",,,"1,2-diphenylhydrazine",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.00056,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,2,3,4-Tetrachlorobenzene",,,"1,2,3,4-tetrachlorobenzene",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0018,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,2,4-Trichlorobenzene",,,"1,2,4-trichlorobenzene",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.1,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,2,4-Trichlorobenzene",,,"1,2,4-trichlorobenzene",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.024,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,2,4-Trimethylbenzene",,,"1,2,4-trimethylbenzene",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.15,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,2,4-Trimethylbenzene",,,"1,2,4-trimethylbenzene",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.017,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,2,4,5-Tetrachlorobenzene",,,"1,2,4,5-tetrachlorobenzene",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.023,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,2,4,5-Tetrachlorobenzene",,,"1,2,4,5-tetrachlorobenzene",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.003,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
m-Dichlorobenzene,,,"1,3-dichlorobenzene",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.1,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
m-Dichlorobenzene,,,"1,3-dichlorobenzene",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.028,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,3-Dichloropropane",,,"1,3-dichloropropane",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,5.9,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,3-Dichloropropane",,,"1,3-dichloropropane",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.26,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,3-Dichloropropane",,,"1,3-dichloropropene",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.081,mg/L,applies to cis and trans forms,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,3-Dichloropropane",,,"1,3-dichloropropene",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.009,mg/L,applies to cis and trans forms,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
m-Dinitrobenzene,,,"1,3-dinitrobenzene",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.35,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
m-Dinitrobenzene,,,"1,3-dinitrobenzene",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.016,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,3,5-Trimethylbenzene",,,"1,3,5-trimethylbenzene",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.41,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,3,5-Trimethylbenzene",,,"1,3,5-trimethylbenzene",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.045,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,3,5-Trinitrobenzene",,,"1,3,5-trinitrobenzene",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.055,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,3,5-Trinitrobenzene",,,"1,3,5-trinitrobenzene",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0024,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
p-Dichlorobenzene,,,"1,4-dichlorobenzene",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.1,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
p-Dichlorobenzene,,,"1,4-dichlorobenzene",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.026,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,4-Dioxane",,,"1,4-dioxane",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,200,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"1,4-Dioxane",,,"1,4-dioxane",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,22,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Diethylene glycol monobutyl ether acetate,,,2-(2-butoxyethoxy) ethyl acetate,CA-QC,US-MI,,Approved,Water,Freshwater,Acute,2.3,mg/L,"MDEQ - Michigan Department of Environmental Quality (MDEQ) - 2008 - Rule 57 Water Quality Values - Surface Water Quality Assessment Section, MDEQ, 5 p, 2008-12-12",,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,"MDEQ - Michigan Department of Environmental Quality (MDEQ) - 2008 - Rule 57 Water Quality Values - Surface Water Quality Assessment Section, MDEQ, 5 p, 2008-12-10",MK,2020-12-18
Diethylene glycol monobutyl ether acetate,,,2-(2-butoxyethoxy) ethyl acetate,CA-QC,US-MI,,Approved,Water,Freshwater,Chronic,0.26,mg/L,"MDEQ - Michigan Department of Environmental Quality (MDEQ) - 2008 - Rule 57 Water Quality Values - Surface Water Quality Assessment Section, MDEQ, 5 p, 2008-12-13",,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,"MDEQ - Michigan Department of Environmental Quality (MDEQ) - 2008 - Rule 57 Water Quality Values - Surface Water Quality Assessment Section, MDEQ, 5 p, 2008-12-10",MK,2020-12-18
,,,"2-amino-3,6-dinitrotoluene",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.042,mg/L,"SERT - Toxic Discharge Assessment Service (SERT) - 1995 - Technical Note on several toxic substances - Aquatic Ecosystems Department, Quebec Ministry of the Environment and Wildlife, Quebec",,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,MK,2020-12-18
,,,"2-amino-3,6-dinitrotoluene",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0019,mg/L,"SERT - Toxic Discharge Assessment Service (SERT) - 1995 - Technical Note on several toxic substances - Aquatic Ecosystems Department, Quebec Ministry of the Environment and Wildlife, Quebec",,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,MK,2020-12-18
2-Methyl-5-nitroaniline,,,2-amino-4-nitrotoluene,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,1.1,mg/L,"SERT - Toxic Discharge Assessment Service (SERT) - 1995 - Technical Note on several toxic substances - Aquatic Ecosystems Department, Quebec Ministry of the Environment and Wildlife, Quebec",,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,MK,2020-12-18
2-Methyl-5-nitroaniline,,,2-amino-4-nitrotoluene,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.05,mg/L,"SERT - Toxic Discharge Assessment Service (SERT) - 1995 - Technical Note on several toxic substances - Aquatic Ecosystems Department, Quebec Ministry of the Environment and Wildlife, Quebec",,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,MK,2020-12-18
"2-Amino-4,6-dinitrotoluene",,,"2-amino-4,6-dinitrotoluene",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.23,mg/L,"SERT - Toxic Discharge Assessment Service (SERT) - 1995 - Technical Note on several toxic substances - Aquatic Ecosystems Department, Quebec Ministry of the Environment and Wildlife, Quebec",,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,MK,2020-12-18
"2-Amino-4,6-dinitrotoluene",,,"2-amino-4,6-dinitrotoluene",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.01,mg/L,"SERT - Toxic Discharge Assessment Service (SERT) - 1995 - Technical Note on several toxic substances - Aquatic Ecosystems Department, Quebec Ministry of the Environment and Wildlife, Quebec",,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,MK,2020-12-18
o-Chlorophenol,,,2-chlorophenol,CA-QC,US-MI,,Approved,Water,Freshwater,Acute,0.16,mg/L,"MDEQ - Michigan Department of Environmental Quality (MDEQ) - 2008 - Rule 57 Water Quality Values - Surface Water Quality Assessment Section, MDEQ, 5 p, 2008-12-13",,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,MK,2020-12-18
o-Chlorophenol,,,2-chlorophenol,CA-QC,US-MI,,Approved,Water,Freshwater,Chronic,0.018,mg/L,"MDEQ - Michigan Department of Environmental Quality (MDEQ) - 2008 - Rule 57 Water Quality Values - Surface Water Quality Assessment Section, MDEQ, 5 p, 2008-12-13",,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,MK,2020-12-18
2-Ethylhexanol,,,2-ethylhexanol,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,1.1,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
2-Ethylhexanol,,,2-ethylhexanol,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.13,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,2-isopropylphenol,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.32,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,2-isopropylphenol,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.036,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,"2-methyl-4,6-dinitrophenol",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.0066,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,"2-methyl-4,6-dinitrophenol",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.00029,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
o-Cresol,,,2-methylphenol,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.74,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
o-Cresol,,,2-methylphenol,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.082,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
o-Nitrotoluene,,,2-nitrotoluene,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,1.9,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
o-Nitrotoluene,,,2-nitrotoluene,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.083,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"2,2-Dibromo-3-nitrilopropionamide",,,"2,2-dibromo-2-cyanoacetamide",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.071,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"2,2-Dibromo-3-nitrilopropionamide",,,"2,2-dibromo-2-cyanoacetamide",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0078,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,"2,3-dinitrotoluene",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.034,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,"2,3-dinitrotoluene",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.00073,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"2,3,4,6-Tetrachlorophenol",,,"2,3,4,6-tetrachlorophenol",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.011,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"2,3,4,6-Tetrachlorophenol",,,"2,3,4,6-tetrachlorophenol",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0012,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"2,3,5,6-Tetrachlorophenol",,,"2,3,5,6-tetrachlorophenol",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.0085,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"2,3,5,6-Tetrachlorophenol",,,"2,3,5,6-tetrachlorophenol",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.00038,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,"2,3,6-trinitrotoluene",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.0055,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,"2,3,6-trinitrotoluene",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.00024,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"2,4-D",,,"2,4-D",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,1.4,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"2,4-D",,,"2,4-D",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.22,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"2,4-DB",,,"2,4-DB","CA-QC,CA-AB",QC Gov,,Approved,Water,Freshwater,Acute,0.56,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"2,4-DB",,,"2,4-DB","CA-QC,CA-AB",QC Gov,,Approved,Water,Freshwater,Chronic,0.025,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"4,6-Dichloro-o-cresol",,,"2,4-dichloro-6-methylphenol",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.022,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"4,6-Dichloro-o-cresol",,,"2,4-dichloro-6-methylphenol",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.00096,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"2,4-Dichlorophenol",,,"2,4-diclorophenol",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.092,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"2,4-Dichlorophenol",,,"2,4-diclorophenol",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.011,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"2,4-Dimethylphenol",,,"2,4-dimethylphenol",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,1.3,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"2,4-Dimethylphenol",,,"2,4-dimethylphenol",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.38,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"2,4-Dinitrophenol",,,"2,4-dinitrophenol",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.13,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"2,4-Dinitrophenol",,,"2,4-dinitrophenol",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.019,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"2,4-Dinitrotoluene",,,"2,4-dinitrotoluene",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,1.2,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"2,4-Dinitrotoluene",,,"2,4-dinitrotoluene",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.02,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"2,4,5-Trichlorophenol",,,"2,4,5-trichlorophenol",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.046,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"2,4,5-Trichlorophenol",,,"2,4,5-trichlorophenol",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.002,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"2,4,6-Trichlorophenol",,,"2,4,6-trichlorophenol",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.039,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
